Pizza,Averages,Chris,Jo,Keira,Matt_B,Matt_G,Rachel,Roberto,Sara,Sean
A,3.333333333,4,3,5,3,2,4,1,4,4
B,3.222222222,3,4,5,3,2,3,3,3,3
C,2.555555556,3,3,3,2,2,3,3,2,2
D,2.333333333,3,1,3,2,1,2,2,2,5
E,2.444444444,2,2,2,3,2,3,3,3,2
F,2.888888889,3,4,2,4,3,4,1,3,2
G,3,3,4,2,4,4,4,2,1,3
