Pizza,Averages,Chris,Jo,Keira,Matt_B,Matt_G,Rachel,Roberto,Sara,Sean
A,3.222222222,5,3,4,4,2,3,1,3,4
B,2.666666667,2,3,2,2,3,2,2,4,4
C,2.666666667,3,2,4,2,2,3,3,3,2
D,2.555555556,4,1,4,1,1,3,1,3,5
E,2.666666667,3,2,2,3,2,3,2,3,4
F,3.333333333,3,4,3,4,3,5,1,3,4
G,3.555555556,4,5,4,3,4,5,2,1,4
