pizza_chain,Pizza,Temp,Type,Averages,Elaine,Ethan,Katie_M,Keira,Jenna,Matt_G,Miranda,Rachel,Roberto,Tyler,Chris,Jo,Keira,Matt_B,Sara,Sean
Digiorno,A,107.6,pepperoni,2.555555556,2,2,3,3,1,3,3,3,3,1,N/A,N/A,N/A,N/A,N/A,N/A
Pizza Hut,B,106.5,pepperoni,2.444444444,4,2,2,2,1,1,3,3,4,4,N/A,N/A,N/A,N/A,N/A,N/A
Domino's,C,109,pepperoni,2.777777778,4,2,2,2,4,2,4,2,3,4,N/A,N/A,N/A,N/A,N/A,N/A
Pizza Boli's,D,115.2,pepperoni,2.555555556,3,2,2,3,3,3,3,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A
Papa John's,E,126,pepperoni,2.111111111,2,2,1,4,1,3,3,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A
Little Ceasar's,F,148.3,pepperoni,2.222222222,2,1,4,2,2,1,4,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A
