Pizza,Averages,Chris,Jo,Keira,Matt_B,Matt_G,Rachel,Roberto,Sara,Sean
A,3.222222222,5,3,5,2,2,4,1,3,4
B,3,3,3,5,3,2,2,3,2,4
C,2.333333333,3,2,2,3,2,2,2,3,2
D,2.555555556,3,2,2,2,1,3,3,2,5
E,2.555555556,2,3,3,2,2,3,3,2,3
F,2.444444444,2,4,3,4,3,2,1,2,1
G,2.666666667,3,3,2,4,3,2,3,1,3
