Pizza,Averages,Chris,Jo,Keira,Matt_B,Matt_G,Rachel,Roberto,Sara,Sean
A,2.333333333,1,2,3,3,2,2,1,3,4
B,2.444444444,2,3,3,3,2,1,1,3,4
C,1.888888889,1,2,1,3,2,1,2,2,3
D,2,4,2,1,2,1,2,2,2,2
E,2.333333333,2,3,2,3,3,1,1,3,3
F,3,2,4,2,3,4,3,1,3,5
G,3.222222222,3,4,4,3,4,3,2,3,3
