Pizza,Averages,Chris,Jo,Keira,Matt_B,Matt_G,Rachel,Roberto,Sara,Sean
A,4/9,Papa_Johns,Papa_Johns,Pizza_Hut,Dominos,Pizza_Bolis,Pizza_Hut,Papa_Johns,N/A,Papa_Johns
B,3/9,Little_Ceasars,Papa_Johns,Dominos,Pizza_Bolis,Papa_Johns,Pizza_Bolis,Digiorno,Pizza_Bolis,Pizza_Hut
C,2/9,Pizza_Bolis,Digiorno,Little_Ceasars,Little_Ceasars,Dominos,Papa_Johns,Little_Ceasars,N/A,Digiorno
D,2/9,Pizza_Bolis,Papa_Johns,Digiorno,Little_Ceasars,Digiorno,Little_Ceasars,Pizza_Hut,N/A,Dominos
E,3/9,Digiorno,Dominos,Pizza_Bolis,Papa_Johns,Dominos,Digiorno,Dominos,N/A,Pizza_Hut
F,2/9,Little_Ceasars,Pizza_Hut,Papa_Johns,Pizza_Hut,Little_Ceasars,Dominos,Pizza_Bolis,N/A,Pizza_Bolis
G,7/9,Pizza_Hut,Pizza_Hut,Pizza_Hut,Pizza_Hut,Pizza_Hut,Pizza_Hut,Pizza_Hut,N/A,Little_Ceasars
